surface,type,paths,current_issue,recommendation,rationale,priority,plugin_impact,visual_impact,interaction_impact
Admin view,control center,apps/web/src/app/views/AdminView.tsx; apps/web/src/app/views/admin/*,"Tabs exist, but the surface can become denser and more operationally legible.",Use stronger table/detail patterns and tighter route header/filter grammar.,Administrative tasks tend to be high-density and search/filter heavy.,P2,low,medium,medium
Plugin manifest contract,frontend plugin seam,apps/web/src/app/plugins/contracts/PluginManifest.ts,"Excellent base, but missing richer route metadata, bottom panel hooks and command palette contributions.","Extend the contract with route-header, command palette and diagnostics contribution surfaces.","As plugin count grows, UX docking must be explicit, not implicit.",P1,high,medium,high
Plugin registry,composition root,apps/web/src/app/plugins/registry.ts; apps/web/src/app/shell/shellRuntimeModel.ts,"Technically strong, but should expose clearer grouping semantics for product navigation and workbench placement.","Keep app-first composition and add metadata for route family, preferred dock and maturity.","The registry should drive UX consistency, not just code discoverability.",P1,high,medium,high
dbt contributions,plugin navigation,apps/web/src/app/plugins/dbt/dbtContributions.ts,"Canvas, Lineage, Code and Diff all appear as core views, which risks over-fragmenting the primary nav.",Keep Canvas and Lineage core; evaluate demoting Code and Diff into contextual tabs or secondary navigation.,"Primary navigation should reflect task families, not every subordinate surface.",P0,high,medium,high
monitoring contributions,plugin runtime overlays,apps/web/src/app/plugins/monitoring/monitoringContributions.ts,"Good runtime overlays and badges exist, but their output is still spread between routes and console.",Extend monitoring toward diagnostics panel tabs and richer route integration.,Runtime signal should aggregate into a coherent operational story.,P1,high,medium,high
Theme tokens,design system,apps/web/src/styles/theme.css,"Semantic token base is already good, but not yet the true authority everywhere.",Expand semantic tokens and make views consume them consistently.,A professional theme system only works when code stops bypassing it.,P0,medium,high,medium
Global CSS,styling bridge,apps/web/src/styles/index.css,Decorative gradients and React Flow hardcodes introduce extra noise and reduce theme governability.,Reduce decoration and convert raw values into token-driven styling.,A workbench should emphasize content surfaces over decorative atmosphere.,P0,low,high,medium
Monaco code surface,editor integration,apps/web/src/app/components/monaco/MonacoCodeSurface.tsx,Still effectively tied to a generic `vs-dark` editor identity.,Define a stable DVT Monaco theme and align container tokens and typography.,Editor surfaces should look native to the product.,P0,medium,high,medium
Monaco diff surface,editor integration,apps/web/src/app/components/monaco/MonacoDiffSurface.tsx,Same theme and integration issue as the code surface.,Apply the same DVT Monaco theme strategy and size tokens.,Diff and code need one cohesive language inside the workbench.,P0,medium,high,medium
Monaco viewer fallback,placeholder styling,apps/web/src/app/components/monaco/MonacoViewerFallback.tsx,Fallback container and colors are hardcoded and generic.,"Tokenize container background, border and default heights.",Fallback states should still look first-class.,P2,low,medium,low
UI layout store,state,apps/web/src/app/stores/uiLayoutStore.ts,"Strong persisted layout store, but it still carries `activeTabs` alongside layout concerns.","Keep layout persistence here, but move content/workbench tab lifecycle into its own store.",Layout and content tabs are different concerns.,P1,medium,low,high
Session store,state / composition boundary,apps/web/src/app/stores/sessionStore.ts,Runtime mode/bootstrap config is still read at store module level.,Move runtime mode decisions back toward a single composition boundary.,This aligns the codebase with the frontend boundary architecture goals.,P1,low,low,medium
Canvas interaction store,state,apps/web/src/app/stores/canvasInteractionStore.ts,"Useful persisted canvas state exists, but it does not yet model saved views or large-board navigation aids.","Extend it with saved views, focus presets, frame visibility and selection history where appropriate.",Repeated board work depends on memory and quick recall.,P2,medium,low,high
Legacy app store,state,apps/web/src/app/stores/appStore.ts,Still present as a deprecated monolithic facade.,Do not extend it; continue the split by concern.,"Professionalization requires stronger ownership boundaries, not a bigger god store.",P1,low,low,medium
Web package scripts,delivery / docs alignment,apps/web/package.json,"Current package now ships `test`, but some docs still talk as if there were no package-level test command.",Update docs and rollout language to match the real package surface.,Product and engineering confidence depend on truthful docs.,P2,low,low,low
